cargo version 1.76.0,rustc version 1.76.0,5.13.0-40-generic,,,,,,,,,,,,,,,,,,
Binary Trees d= 15,,,,,,,,,,,,,,,,,,,,
RUST (unoptimized),Test 1,Test 2,Test 3,Test 4,Test 5,AVG,RUST (OPT),Test 1,Test 2,Test 3,Test 4,Test 5,AVG,Python,Test 1,Test 2,Test 3,Test 4,Test 5,AVG
time(real) (s),0.36,0.364,0.362,0.356,0.362,0.3608,,0.125,0.13,0.123,0.119,0.129,0.1252,,0.895,0.858,0.868,0.863,0.871,0.871
time(user) (s),0.356,0.363,0.354,0.352,0.362,0.3574,,0.117,0.126,0.123,0.119,0.129,0.1228,,0.855,0.85,0.863,0.862,0.862,0.8584
time(sys) (s),0.004,0,0.008,0.004,0,0.0032,,0.008,0.004,0,0,0,0.0024,,0.008,0.008,0.004,0,0.008,0.0056
Peak-mem (KB),8144,8080,8188,8192,8264,8173.6,,8100,8308,8080,8260,8292,8208,,13413,13364,13364,13364,13468,13394.6
Voluntary Context Switches,1,1,1,1,1,1,,1,1,1,1,1,1,,1,1,1,1,1,1
Involuntary Context Switches,34,36,34,49,33,37.2,,12,13,13,13,14,13,,86,81,84,84,81,83.2
Minor Page Faults,1625,1631,1629,1630,1632,1629.4,,1627,1624,1630,1626,1629,1627.2,,8706,8709,8705,8708,8707,8707
,,,,,,,,,,,,,,,,,,,,
Edigits 100000,,,,,,,,,,,,,,,,,,,,
RUST (unoptimized),Test 1,Test 2,Test 3,Test 4,Test 5,AVG,RUST (OPT),Test 1,Test 2,Test 3,Test 4,Test 5,AVG,Python,Test 1,Test 2,Test 3,Test 4,Test 5,AVG
time(real) (s),0.558,0.527,0.541,0.521,0.544,0.5382,,0.063,0.035,0.046,0.072,0.072,0.0576,,0.318,0.316,0.327,0.306,0.321,0.3176
time(user) (s),0.523,0.519,0.516,0.509,0.523,0.518,,0.03,0.027,0.038,0.025,0.038,0.0316,,0.291,0.287,0.296,0.294,0.293,0.2922
time(sys) (s),0.016,0.008,0.012,0.012,0.012,0.012,,0.009,0.008,0.008,0.014,0.008,0.0094,,0.012,0.02,0.016,0.008,0.016,0.0144
Peak-mem (KB),3368,3316,3340,3288,3332,3328.8,,3104,2804,2928,2968,2916,2944,,10032,10092,9976,9952,10052,10020.8
Voluntary Context Switches,4,1,1,1,2,1.8,,5,3,1,1,4,2.8,,5,2,2,3,2,2.8
Involuntary Context Switches,49,51,51,50,49,50,,5,4,3,4,4,4,,28,29,28,29,28,28.4
Minor Page Faults,265,268,271,269,269,268.4,,257,260,257,262,260,259.2,,1196,1195,1195,1195,1196,1195.4
,,,,,,,,,,,,,,,,,,,,
LRU 1000 1000000,,,,,,,,,,,,,,,,,,,,
RUST (unoptimized),Test 1,Test 2,Test 3,Test 4,Test 5,AVG,RUST (OPT),Test 1,Test 2,Test 3,Test 4,Test 5,AVG,Python,Test 1,Test 2,Test 3,Test 4,Test 5,AVG
time(real) (s),1.606,1.613,1.608,1.605,1.615,1.6094,,0.056,0.055,0.055,0.059,0.059,0.0568,,0.982,0.995,0.979,0.979,0.975,0.982
time(user) (s),1.606,1.613,1.607,1.604,1.61,1.608,,0.056,0.051,0.055,0.059,0.059,0.056,,0.977,0.986,0.971,0.975,0.971,0.976
time(sys) (s),0,0,0,0,0.004,0.0008,,0,0.004,0,0,0,0.0008,,0.004,0.008,0.008,0.004,0.004,0.0056
Peak-mem (KB),2672,2732,2776,2768,2892,2768,,2144,2288,2220,2200,2112,2192.8,,9736,9832,9756,9736,9736,9759.2
Voluntary Context Switches,1,1,1,1,1,1,,1,1,1,1,1,1,,1,1,1,1,1,1
Involuntary Context Switches,156,156,150,166,151,155.8,,4,5,6,5,7,5.4,,94,93,96,96,94,94.6
Minor Page Faults,263,263,261,261,265,262.6,,133,134,135,132,136,134,,1114,1115,1114,1115,1115,1114.6
,,,,,,,,,,,,,,,,,,,,
Merkletrees 15,,,,,,,,,,,,,,,,,,,,
RUST (unoptimized),Test 1,Test 2,Test 3,Test 4,Test 5,AVG,RUST (OPT),Test 1,Test 2,Test 3,Test 4,Test 5,AVG,Python,Test 1,Test 2,Test 3,Test 4,Test 5,AVG
time(real) (s),0.33,0.32,0.33,0.32,0.31,0.322,,0.12,0.13,0.12,0.12,0.11,0.12,,7.82,7.91,7.84,7.87,7.78,7.844
time(user) (s),0.32,0.31,0.32,0.31,0.31,0.314,,0.11,0.12,0.12,0.1,0.11,0.112,,7.8,7.88,7.82,7.85,7.76,7.822
time(sys) (s),0,0,0,0,,0,,0,0,0,0.01,0,0.002,,0.01,0.02,0.01,0,0.01,0.01
Peak-mem (KB),10416,10284,10452,10252,10232,10327.2,,10208,10208,10236,10256,10480,10277.6,,50876,50868,50868,50824,50904,50868
Voluntary Context Switches,,,,,,#DIV/0!,,,,,,,#DIV/0!,,,,,,,#DIV/0!
Involuntary Context Switches,,,,,,#DIV/0!,,,,,,,#DIV/0!,,,,,,,#DIV/0!
Minor Page Faults,2143,2141,2143,2140,2139,2141.2,,2137,2138,2138,2139,2142,2138.8,,26410,26409,26408,26406,26409,26408.4
,,,,,,,,,,,,,,,,,,,,
N Body 500000,,,,,,,,,,,,,,,,,,,,
RUST (unoptimized),Test 1,Test 2,Test 3,Test 4,Test 5,AVG,RUST (OPT),Test 1,Test 2,Test 3,Test 4,Test 5,AVG,Python,Test 1,Test 2,Test 3,Test 4,Test 5,AVG
time(real) (s),0.13,0.11,0.12,0.12,0.11,0.118,,0.04,0.03,0.03,0.03,0.04,0.034,,2.8,2.86,2.89,2.81,2.83,2.838
time(user) (s),0.13,0.11,0.12,0.12,0.11,0.118,,0.04,0.03,0.03,0.03,0.04,0.034,,2.8,2.86,2.88,2.79,2.82,2.83
time(sys) (s),0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0
Peak-mem (KB),2224,2132,2236,2088,2072,2150.4,,2016,2180,2060,2084,2064,2080.8,,9428,9496,9424,9380,9544,9454.4
Voluntary Context Switches,,,,,,#DIV/0!,,,,,,,#DIV/0!,,,,,,,#DIV/0!
Involuntary Context Switches,,,,,,#DIV/0!,,,,,,,#DIV/0!,,,,,,,#DIV/0!
Minor Page Faults,94,92,95,93,93,93.4,,90,93,92,93,91,91.8,,1097,1096,1097,1098,1098,1097.2
,,,,,,,,,,,,,,,,,,,,
Nsieve 10,,,,,,,,,,,,,,,,,,,,
RUST (unoptimized),Test 1,Test 2,Test 3,Test 4,Test 5,AVG,RUST (OPT),Test 1,Test 2,Test 3,Test 4,Test 5,AVG,Python,Test 1,Test 2,Test 3,Test 4,Test 5,AVG
time(real) (s),0.97,0.98,0.97,0.97,0.98,0.974,,0.06,0.05,0.07,0.06,0.05,0.058,,2.6,2.61,2.61,2.6,2.61,2.606
time(user) (s),0.97,0.98,0.97,0.96,0.98,0.972,,0.05,0.05,0.07,0.06,0.05,0.056,,2.56,2.58,2.57,2.56,2.57,2.568
time(sys) (s),0,0,0,0,,0,,0,0,0,0,0,0,,0.03,0.03,0.03,0.03,0.03,0.03
Peak-mem (KB),12020,11968,11936,11880,11892,11939.2,,11832,11768,11784,12016,11872,11854.4,,89276,89200,89272,89244,89272,89252.8
Voluntary Context Switches,,,,,,#DIV/0!,,,,,,,#DIV/0!,,,,,,,#DIV/0!
Involuntary Context Switches,,,,,,#DIV/0!,,,,,,,#DIV/0!,,,,,,,#DIV/0!
Minor Page Faults,3844,3842,3844,3841,3841,3842.4,,3839,3843,3842,3843,3843,3842,,36031,36030,36032,36031,36032,36031.2
,,,,,,,,,,,,,,,,,,,,
coro-prime-sieve 1000,,,,,,,,,,,,,,,,,,,,
RUST (unoptimized),Test 1,Test 2,Test 3,Test 4,Test 5,AVG,RUST (OPT),Test 1,Test 2,Test 3,Test 4,Test 5,AVG,Python,Test 1,Test 2,Test 3,Test 4,Test 5,AVG
time(real) (s),0.18,0.18,0.18,0.19,0.19,0.184,,0.08,0.08,0.1,0.08,0.08,0.084,,0.43,0.41,0.41,0.41,0.41,0.414
time(user) (s),2.09,2,2.05,2.09,2.1,2.066,,0.86,0.88,1.01,0.86,0.89,0.9,,0.42,0.41,0.41,0.41,0.39,0.408
time(sys) (s),0.07,0.03,0.02,0.11,,0.0575,,0.02,0.02,0.16,0.03,0.02,0.05,,0,0,0,0,0.01,0.002
Peak-mem (KB),5748,5664,5612,5692,5664,5676,,4656,4576,4612,4840,4588,4654.4,,16956,16956,16976,17056,17156,17020
Voluntary Context Switches,,,,,,#DIV/0!,,,,,,,#DIV/0!,,,,,,,#DIV/0!
Involuntary Context Switches,,,,,,#DIV/0!,,,,,,,#DIV/0!,,,,,,,#DIV/0!
Minor Page Faults,728,730,725,725,726,726.8,,653,648,650,652,650,650.6,,2652,2653,2653,2636,2660,2650.8
,,,,,,,,,,,,,,,,,,,,
SECP256k1 500,,,,,,,,,,,,,,,,,,,,
RUST (unoptimized),Test 1,Test 2,Test 3,Test 4,Test 5,AVG,RUST (OPT),Test 1,Test 2,Test 3,Test 4,Test 5,AVG,Python,Test 1,Test 2,Test 3,Test 4,Test 5,AVG
time(real) (s),5.06,5.08,5.05,5.08,5.04,5.062,,0.32,0.32,0.34,0.32,0.32,0.324,,0.87,0.87,0.87,0.87,0.87,0.87
time(user) (s),5.06,5.08,5.05,5.08,5.03,5.06,,0.32,0.32,0.34,0.32,0.32,0.324,,0.87,0.87,0.87,0.86,0.86,0.866
time(sys) (s),0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0
Peak-mem (KB),2496,2312,2296,2372,2388,2372.8,,2396,2288,2336,2124,2180,2264.8,,9460,9516,9568,9484,9464,9498.4
Voluntary Context Switches,,,,,,#DIV/0!,,,,,,,#DIV/0!,,,,,,,#DIV/0!
Involuntary Context Switches,,,,,,#DIV/0!,,,,,,,#DIV/0!,,,,,,,#DIV/0!
Minor Page Faults,103,102,103,102,104,102.8,,98,96,97,93,95,95.8,,1137,1140,1139,1139,1136,1138.2
,,,,,,,,,,,,,,,,,,,,
Time,,,,,,,,,,,,,,,,,,,,
,Binary Trees,Edigits,LRU,Merkle Trees,Nbody,Nsieve,coro-prime-sieve,SECP256k1,,,Binary Trees,Edigits,LRU,Merkle Trees,Nbody,Nsieve,coro-prime-sieve,SECP256k1,,
Unoptimized Rust,0.3608,0.5382,1.6094,0.322,0.118,0.974,0.184,5.062,,Peak Mem,1.631895712,3.403804348,4.450565487,4.94940453,4.543637063,7.529086246,3.656754899,4.193924408,,
Optimized Rust (O3),0.1252,0.0576,0.0568,0.12,0.034,0.058,0.084,0.324,,Page Faults,5.350909538,4.611882716,8.317910448,12.34729755,11.95206972,9.3782405,4.074392868,11.88100209,,
Python,0.871,0.3176,0.982,7.844,2.838,2.606,0.414,0.87,,,,,,,,,,,,
,6.95686901,5.513888889,17.28873239,65.36666667,83.47058824,44.93103448,4.928571429,2.685185185,,,,,,,,,,,,
Peak Mem,,,,,,,,,,,,,,,,,,,,
,Binary Trees,Edigits,LRU,Merkle Trees,Nbody,Nsieve,coro-prime-sieve,SECP256k1,,,,,,,,,,,,
Unoptimized Rust,8173.6,3328.8,2768,10327.2,2150.4,11939.2,5676,2372.8,,,,,,,,,,,,
Optimized Rust (O3),8208,2944,2192.8,10277.6,2080.8,11854.4,4654.4,2264.8,,,,,,,,,,,,
Python,13394.6,10020.8,9759.2,50868,9454.4,89252.8,17020,9498.4,,,,,,,,,,,,
,1.631895712,3.403804348,4.450565487,4.94940453,4.543637063,7.529086246,3.656754899,4.193924408,,,,,,,,,,,,
Page Faults,,,,,,,,,,,,,,,,,,,,
,Binary Trees,Edigits,LRU,Merkle Trees,Nbody,Nsieve,coro-prime-sieve,SECP256k1,,,,,,,,,,,,
Unoptimized Rust,1629.4,268.4,262.6,2141.2,93.4,3842.4,726.8,102.8,,,,,,,,,,,,
Optimized Rust (O3),1627.2,259.2,134,2138.8,91.8,3842,650.6,95.8,,,,,,,,,,,,
Python,8707,1195.4,1114.6,26408.4,1097.2,36031.2,2650.8,1138.2,,,,,,,,,,,,
,5.350909538,4.611882716,8.317910448,12.34729755,11.95206972,9.3782405,4.074392868,11.88100209,,,,,,,,,,,,
Lines of Code,,,,,,,,,,,,,,,,,,,,
,Binary Trees,Edigits,LRU,Merkle Trees,Nbody,Nsieve,coro-prime-sieve,SECP256k1,,,,,,,,,,,,
Rust,66,90,213,178,120,25,51,277,,,,,,,,,,,,
Python,54,56,58,121,69,18,28,176,,,,,,,,,,,,
,1.222222222,1.607142857,3.672413793,1.47107438,1.739130435,1.388888889,1.821428571,1.573863636,,,,,,,,,,,,